iter	RMSE
0	13.99550377
1	13.1235704
2	12.32953029
3	11.62789031
4	10.93361599
5	10.43381206
6	9.903126595
7	9.441795394
8	9.042518407
9	8.622605724
10	8.24171472
11	7.920317238
12	7.624151319
13	7.383084056
14	7.158686633
15	6.951048338
16	6.754303196
17	6.587879689
18	6.465995612
19	6.332302307
20	6.219491875
21	6.11601668
22	6.01173091
23	5.921609735
24	5.840214011
25	5.777984538
26	5.713019309
27	5.6539592
28	5.604528441
29	5.560467442
30	5.520487327
31	5.470453506
32	5.433347893
33	5.408685789
34	5.372510423
35	5.345037087
36	5.314206254
37	5.280673985
38	5.243484276
39	5.228252057
40	5.211170669
41	5.195346143
42	5.182219278
43	5.161145647
44	5.141512384
45	5.115145558
46	5.094058114
47	5.078909966
48	5.061767638
49	5.053953844
50	5.038313038
51	5.018844751
52	5.003838678
53	4.989933339
54	4.983522427
55	4.975225804
56	4.963431382
57	4.952176598
58	4.94318829
59	4.93059785
60	4.91965292
61	4.904495039
62	4.893367354
63	4.887215046
64	4.876268523
65	4.863573554
66	4.853760448
67	4.831202941
68	4.815407964
69	4.79817733
70	4.77994311
71	4.769841703
72	4.762518367
73	4.753526735
74	4.737286315
75	4.729917642
76	4.72334291
77	4.712659551
78	4.703046701
79	4.679844093
80	4.676328503
81	4.660273177
82	4.650728679
83	4.635738212
84	4.620363774
85	4.607977659
86	4.597649691
87	4.586704594
88	4.582201189
89	4.570516853
90	4.561967197
91	4.557602756
92	4.55167836
93	4.540363375
94	4.52472431
95	4.517331575
96	4.510437497
97	4.500272464
98	4.491797674
99	4.482001018
