iter	Passed	Remaining
0	1	115
1	2	103
2	2	94
3	3	88
4	4	84
5	5	82
6	6	80
7	6	78
8	7	77
9	8	75
10	9	75
11	10	76
12	11	76
13	12	75
14	13	74
15	13	72
16	14	71
17	15	70
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	65
24	21	63
25	22	62
26	22	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	54
34	29	54
35	29	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	10
88	74	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
